unique_name,name,bat_style,bowl_style
V Nigam,Vipraj Nigam,Right hand Bat,Legbreak
V Puthur,Vignesh Puthur,Right hand Bat,Left arm Wrist spin
V Suryavanshi,Vaibhav Suryavanshi,Left hand Bat,Slow Left arm Orthodox
W O'Rourke,William Peter O'Rourke,Right hand Bat,Right arm Fast
XC Bartlett,Xavier Colin Bartlett,Right hand Bat,Right arm Fast medium
Zeeshan Ansari,Zeeshan Ansari,Right hand Bat,Legbreak Googly
A Mhatre,Ayush Mhatre,Right hand Bat,Right arm Offbreak
Ashwani Kumar,Ashwani Kumar,Left hand Bat,Left arm Medium
Harsh Dubey,Harsh Surendra Dubey,Left hand Bat,Slow Left arm Orthodox
Musheer Khan,Musheer Khan,Right hand Bat,Slow Left arm Orthodox
Prince Yadav,Prince Yadav,Right hand Bat,Right arm Fast
Priyansh Arya,Priyansh Arya,Left hand Bat,Right arm Offbreak
Urvil Patel,Urvil Mukesh Patel,Right hand Bat,
